did,beta_merit,n_posts_analyzed
did:plc:22vs7uasobxrqmuwckc4os2p,12.196996685503201,29
did:plc:22vxqyk2oh6lhtxq4suj3nuw,223.78708431842557,41
did:plc:22w4xuatznlr2a65xslrqebv,25.75966289418728,2
did:plc:22wazjq4e4yjafxlew2c6kov,34.66651376400424,24
did:plc:22wv3zkd6wq2lyihgbtzas5b,85.17512746136823,56
did:plc:22x4r46sdd6qkyjb5zf5gf42,129.41947650271732,37
did:plc:22xah7aarv6su74mezzr2nxg,33.90810692063372,1
did:plc:22xikdhxpjiuuorimkecxbvu,21.304650795602893,126
did:plc:22ximgct4dxbmv4hlekxmnmp,73.3715108067742,118
did:plc:22xllexih4gmoozzvlje3xqe,16.69082711199247,10
did:plc:22xlzbrujyhnzegfw57bhlou,67.36533616787733,185
did:plc:22xtuu5faewtaogokkixewuj,84.49972087107828,218
did:plc:22yrum5ryon6dtovvwjttkt3,8.104035501674785,618
did:plc:22ywb7ztki2lesjt6zzgnxyv,1.0598387451095073,16
did:plc:22yxd3ge2xco4mgz7xj6jubx,10.516914344314747,1
did:plc:22yyehc52vyozjdxuvhlfwh6,3.750553237425176,1
did:plc:22zhytm4purkrp5faxzqgg23,25.898448665782524,69
did:plc:22ztweahmmzrveuibawxw3rw,27.620006626855083,55
did:plc:22zzzyts3xljodvol5rgvkgq,908.7423783134143,26
did:plc:2326ikh2klykgjdip5ldxwyf,72.82310476636464,270
did:plc:232baup6x7afcevgvcjeyrze,8.512125136384405,97
did:plc:232smsugkphpjbzcbiwravju,15.935947824767474,17
did:plc:232xfjskoszxg57ntqf2t3ya,11.665172104655817,250
did:plc:233j7q3talilsawdau4uwnpf,7.253359223887894,59
did:plc:233k3hoemyu74oyjk2onrdmv,144.01790005151835,11
did:plc:233luksta3siwhmstcbjl6ce,237.00107340131888,11
did:plc:233nx4nktup5zfopgnbhj2wk,283.9254895227774,23
did:plc:233vxz7hv2et3d5iu6eh2iaw,50.081963330587215,80
did:plc:2343jh6qq5gehef2ebv2micr,10.881515499039162,34
did:plc:234dz3tgzl3p4z2vcbr5fy2f,262.62182735754305,60
did:plc:234xb3mixuhzqwpjrq5hd3b4,587.6694276910894,4
did:plc:235335excm5pa54ofsddpy3f,7.496233845682934,1010
did:plc:235boeodyait575gq6wwh3gq,0.942917738097904,12
did:plc:2365pjlaqhkoh6hnvmswybkp,12.139902391010773,49
did:plc:236calivll74tndkgfikelut,16.575085729347297,5
did:plc:236dvobh34todocgslctj4oe,13.220968416647048,190
did:plc:236o24xb3hqa5vv2ydagay7v,11.784647744681052,424
did:plc:236u7uxb7zsazpxd7hnyl73c,119.67033722163933,20
did:plc:237vcx4ofjqqug56uinrax32,9.360377464991394,1242
did:plc:23a4frvrj6vdvfafivazq5cx,0.42979475018404184,993
did:plc:23a7vs4q3krwzmjxso33spir,431.45883833055217,8
did:plc:23b2qcq4cjtijvl6m62u7ng6,1.761769818334044,1
did:plc:23bxl26unew7ggb6nunrcydr,5.261044503772851,17
did:plc:23ce4jifadbq77khtgs3hade,438.1424756328345,18
did:plc:23crusaaiyu47t5qphtlvmpv,11.763518926918016,280
did:plc:23crx27faad76q7krw6gtnw2,1.8156154801964952,241
did:plc:23e6qmug2vwcnsfv2fywuy4b,36.71424947456292,360
did:plc:23ect4wm5cecl3cyqh4bfpvm,307.83611309245225,36
did:plc:23ejwqzjwnhlxlxeqc5rxmwq,32.00811320997144,1
did:plc:23enez4ahgzq2ljhmlpieegy,53.42806275392361,1
did:plc:23ep4oe4hpwb5zh22pxzafp4,15.729044232210954,2
did:plc:23eugfl5qkv67xln44keke3l,65.87416461987286,11
did:plc:23f6o57ugvufcphky2iicb7v,2.5042156670888627,39
did:plc:23frguzjyakriewsvsxd2oyo,22.25332102127112,302
did:plc:23fta4bk67sqw73wj43l3jeb,1.1825431656256744,187
did:plc:23g7nlkq7qbkzf5x6jbi2gn4,62.078393283146326,91
did:plc:23gfk24n7c4fms22wyhlphoe,6.083559431123661,1
did:plc:23gwbfxriupqxrkktiqhdhrz,150.9999476758474,48
did:plc:23hk5zmreqkwlby7o6yeccof,7.201485522744753,1
did:plc:23hpaz2gz2mw5qyok4dqwf4l,12.046431819237748,9
did:plc:23hw3atxbjz7ukueu5vflclm,34.524391732767825,264
did:plc:23hx4slusam7yovblbcestdh,46.51851762277407,16
did:plc:23i22nsp5ngjawpnypj2eya7,92.36037406620899,21
did:plc:23ip7qinl7um5a6u7x4wgfna,60.946181808116734,1
did:plc:23iyixtz6a7hy44vf2h4kc4y,15.830870266416497,71
did:plc:23j7hkwlvwosxuu32azggqih,18.485575007798055,90
did:plc:23jbx3mbesh2ghfcecaxsk6p,28.996872934096228,636
did:plc:23jnqucztcewwanwsn5p5thw,14.81770985648397,3
did:plc:23jwyzoe6m4ot7p7gwe7kqyf,22.19713325411009,189
did:plc:23k3zjcakmf5q2lh2p6u23sa,101.42453058162329,120
did:plc:23k5jpw7moddnbg2tkign6ff,35.07729622382917,237
did:plc:23kogwjyq7lxo7jejo4oemhy,0.5972841760324653,467
did:plc:23leb2qbyjkufil2tvkqnwf4,85.74190084418616,71
did:plc:23lhk3gmsvzbmbfejzvzhj5j,1744.8456640192906,2
did:plc:23lhphbmi3zqv5ikslnwmqky,5.161287614660562,30
did:plc:23ljeo4gddmxzrjrrvkfzteb,2.147789278696633,19
did:plc:23lmpou652lkmshx6jfiunde,13.115706642962358,283
did:plc:23lqsy64w4ilouzxyxsawykw,1.2832796689164798,123
did:plc:23lro6ockg5azwcfd47qcnru,7.606704278322107,843
did:plc:23lsunq5ccxtvlzai5i3aofv,797.6828516831837,2
did:plc:23nchbx3vafequ2dkiq2akvo,46.38021334730017,286
did:plc:23nsuik7fj56vykqgpqmqequ,31.703907883971798,3
did:plc:23nyrn6q5s3obclj2wltgagv,312.70177589919894,16
did:plc:23o57jnnw3mh4cobfpns3j5h,11.413510711075185,5
did:plc:23odkjjpp5y2iy6y7h7rhux4,1.7315690173668068,12
did:plc:23ogvt4h56txfky2ejwn2zgf,1.343781425183729,1
did:plc:23oikfxvtcfpgyluf43gzpu4,81.76924185541753,93
did:plc:23pokdas7wf6rgvbd2vmtujc,11.842595846983532,2
did:plc:23pra4bnyoubm7axyrsmtnvt,34.01588967941406,85
