did,followers_count,valid_post_count,total_likes,total_reposts,total_replies,mean_X,avg_jump_size,lambda,duration_days,post_count
did:plc:gaw7zmebpqivvnn6lcb2sekf,758,68,242,11,26,6.1670683984911605,5.102941176470588,0.44857500974629744,179.6289092013902,439
did:plc:4qjs73faz72n4nk7syqm6ill,1391,832,3050,50,612,43.253596788061664,5.461538461538462,5.548297968587518,179.94295199074128,1007
did:plc:i26zfzchst6mrhyiosnugasx,311,3943,7656,192,1181,124.37648698942789,3.2898808014202383,26.26895265450217,179.90816494212933,4316
did:plc:t7glrkjrx6mgtibx5koteo6m,177,854,1572,38,412,27.658577875633227,3.36768149882904,5.6951721128117425,179.8804670601835,1011
did:plc:ewycoupip266izhdr75x7pjw,95,1567,793,64,102,24.88674135565996,1.6119974473516274,10.455611095051557,179.85960241898067,2244
did:plc:bgtrghzkijigz63drnkxvilz,104,36,23,3,8,5.202000540881669,1.9444444444444444,0.24100252485051193,179.15892768518518,615
did:plc:ippt7dz7cdyoqszrlqofbsom,474,1383,1562,788,14,36.30059316537957,2.7093275488069413,9.228852403526172,179.85600055555503,1652
did:plc:oxxn5t3o2bsrh7jgn45wur2m,218,480,728,63,69,15.391543908193533,2.7916666666666665,3.1793553981261806,179.87645653935218,898
did:plc:ovesgcpbza7ie2ppax6zdzxy,192,335,455,37,67,9.034172675088362,2.6686567164179102,2.2364503953904764,179.23586509259212,480
did:plc:opuuvgm4x2t54mjy67vf5ry7,2568,2823,10192,126,1885,146.96196276525097,5.322706340772228,18.842799722237615,179.81006532407469,3510
did:plc:myjyloh2u52hruzaqf2gxkhe,144,885,3510,45,379,49.44483758475936,5.445197740112994,5.896888141601589,179.90291259259263,1422
did:plc:l3yxtwsygapyd3y7bw3tyuns,1596,1041,3874,248,398,52.749250008655046,5.341978866474544,6.8952442565365555,179.9733558449094,1146
did:plc:w56urgaxkq4hlexh36y3427e,498,161,346,18,6,10.477439514113808,3.298136645962733,1.0866796751852374,178.08895079861085,874
did:plc:beod6a4hwsr3btjjlmzqj5bp,755,589,745,25,149,14.74931925943343,2.5602716468590834,3.9644535537921386,177.56993688657604,905
did:plc:ldephjmsjpz4bgbq5scncown,1464,862,1701,115,309,49.52642539390917,3.465197215777262,5.747527888485581,179.95282224537047,4052
did:plc:5hzoqjpwvxchtr2kjaghapxm,400,184,366,25,15,5.832353506905251,3.2065217391304346,1.2209022884279066,179.8588292824063,242
